[00:00:09.222] 951062 16.45 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:09.365] 951082 14.52 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:09.430] 951090 16.27 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:09.441] 951092 7.05 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.3/0.734/3.5 ms, Frame: 1.1/7.193/18.1 ms, FPS: 139.031 (initial: 144.000). Nodes:
[00:00:09.441] 951092 7.08 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (2.7 ms)
[00:00:09.441] 951092 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:09.441] 951092 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:09.692] 951127 14.69 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:09.831] 951146 14.61 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:09.957] 951163 8.51 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:10.005] 951169 14.90 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:10.099] 951181 18.55 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:10.099] 951181 18.57 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:10.448] 951232 7.02 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.4/0.710/3.3 ms, Frame: 0.9/7.193/18.6 ms, FPS: 139.027 (initial: 144.000). Nodes:
[00:00:10.448] 951232 7.05 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (2.6 ms)
[00:00:10.448] 951232 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:10.448] 951232 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:10.500] 951238 16.55 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:10.693] 951265 15.20 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.221] 951340 8.50 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.429] 951369 15.12 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.448] 951372 7.06 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.3/0.700/3.3 ms, Frame: 1.1/7.143/16.6 ms, FPS: 139.988 (initial: 144.000). Nodes:
[00:00:11.448] 951372 7.08 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:11.448] 951372 7.08 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:11.448] 951372 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:11.699] 951407 14.79 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.765] 951415 17.99 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:11.765] 951415 18.01 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.831] 951424 14.71 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:11.957] 951441 15.64 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:12.004] 951447 14.37 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:12.456] 951512 7.07 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.4/0.684/3.1 ms, Frame: 1.3/7.193/18.0 ms, FPS: 139.028 (initial: 144.000). Nodes:
[00:00:12.456] 951512 7.09 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:12.456] 951512 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:12.456] 951512 7.10 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:12.947] 951581 12.42 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:13.346] 951638 15.03 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:13.463] 951655 7.01 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.4/0.721/3.8 ms, Frame: 0.9/7.042/15.0 ms, FPS: 142.011 (initial: 144.000). Nodes:
[00:00:13.463] 951655 7.03 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:13.463] 951655 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:13.463] 951655 7.04 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:13.764] 951697 16.70 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:14.019] 951733 14.49 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:14.164] 951753 14.34 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:14.463] 951796 7.02 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.673/3.5 ms, Frame: 1.0/7.093/16.7 ms, FPS: 140.985 (initial: 144.000). Nodes:
[00:00:14.463] 951796 7.04 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:14.463] 951796 7.04 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:15.428] 951934 14.03 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:15.463] 951939 7.08 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.3/0.709/3.5 ms, Frame: 0.7/6.994/14.1 ms, FPS: 142.986 (initial: 144.000). Nodes:
[00:00:15.463] 951939 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.2 ms)
